benchmark,add,sub,multiply_plain,rotate_rows,square,multiply,Depth,Multplicative Depth,compile_time( ms ),execution_time (ms)
box_blur_4,5,0,0,1,0,0,5,0,319,286
box_blur_8,5,0,0,1,0,0,5,0,943,288
box_blur_16,5,0,0,1,0,0,5,0,5938,295
dot_product_4,2,0,0,2,0,1,5,1,156,305
dot_product_8,3,0,0,3,0,1,7,1,166,358
dot_product_16,4,0,0,4,0,1,9,1,261,396
gx_kernel_4,7,0,7,0,0,7,8,1,2816,119
gx_kernel_8,7,0,7,0,0,7,8,1,5088,123
gx_kernel_16,7,0,7,0,0,7,8,1,9138,123
gy_kernel_4,11,0,2,0,0,7,9,1,4576,1231
gy_kernel_8,11,0,2,0,0,7,9,1,7065,1158
gy_kernel_16,11,0,2,0,0,7,9,1,12762,1237
hamming_dist_4,3,1,0,3,0,3,9,2,260,1563
hamming_dist_8,4,1,0,4,0,3,11,2,915,1685
hamming_dist_16,5,1,0,5,0,3,13,2,5906,1796
l2_distance_4,2,1,0,2,0,1,6,1,157,315
l2_distance_8,3,1,0,3,0,1,8,1,217,350
l2_distance_16,4,1,0,4,0,1,10,1,572,398
lin_reg_4,2,0,1,0,0,1,3,1,154,6
lin_reg_8,2,0,1,0,0,1,3,1,161,6
lin_reg_16,2,0,1,0,0,1,3,1,167,6
matrix_mul_4,2,0,0,2,0,1,5,1,254,313
matrix_mul_8,3,0,0,3,0,1,7,1,11554,363
matrix_mul_16,4,0,0,4,0,1,9,1,1085700,811
poly_reg_4,3,0,0,0,0,2,5,2,267,899
poly_reg_8,3,0,0,0,0,2,5,2,212,922
poly_reg_16,3,0,0,0,0,2,5,2,320,917
roberts_cross_4,8,0,0,0,0,4,7,1,259,885
roberts_cross_8,8,0,0,0,0,4,7,1,1332,922
roberts_cross_16,8,0,0,0,0,4,7,1,14664,923
